Condition,Drug Name,Rating,Review,Side Effects,Useful Count
COVID-19,Remdesivir,7.1,Very effective,"Nausea, liver problems, rash",16
Flu,Tamiflu,8.8,Not effective,"Nausea, headache, dizziness",321
Depression,Sertraline,9.8,Not effective,"Drowsiness, weight gain, nausea",12
Arthritis,Ibuprofen,9.8,Not effective,"Stomach pain, nausea, ulcers",379
Pneumonia,Azithromycin,6.3,Not effective,"Diarrhea, stomach pain, nausea",292
Acid Reflux,Omeprazole,2.6,Somewhat helpful,"Stomach pain, bloating, dizziness",243
Tuberculosis,Rifampin,3.1,Not effective,"Liver damage, nausea, dizziness",216
Bronchitis,Dextromethorphan,5.4,Very effective,"Dizziness, dry mouth, fatigue",192
Liver Disease,Silymarin,9.2,Caused side effects,"Stomach pain, diarrhea, nausea",49
Kidney Stones,Tamsulosin,4.9,Caused side effects,"Dizziness, headache, nasal congestion",70
Stroke,Aspirin,6,Not effective,"Bleeding risk, stomach pain",101
Heart Disease,Atorvastatin,3.9,Caused side effects,"Muscle pain, liver issues, nausea",358
Alzheimer's,Donepezil,5.6,Somewhat helpful,"Nausea, insomnia, diarrhea",73
Anemia,Ferrous Sulfate,1.2,Somewhat helpful,"Constipation, nausea, black stools",453
Hypothyroidism,Levothyroxine,4,Somewhat helpful,"Weight loss, anxiety, nausea",157
Epilepsy,Carbamazepine,6.9,Very effective,"Dizziness, fatigue, liver problems",336
Diabetes,Metformin,4.8,Not effective,"Nausea, weight loss, dizziness",276
Hypertension,Lisinopril,3.7,Highly recommended,"Cough, dizziness, low blood pressure",47
Migraine,Sumatriptan,9.6,Highly recommended,"Nausea, dizziness, chest pain",214
Asthma,Albuterol,9.4,Caused side effects,"Tremors, nervousness, fast heartbeat",348
COVID-19,Remdesivir,4,Caused side effects,"Nausea, liver problems, rash",252
Flu,Tamiflu,6.6,Very effective,"Nausea, headache, dizziness",212
Depression,Sertraline,4.7,Highly recommended,"Drowsiness, weight gain, nausea",422
Arthritis,Ibuprofen,1.5,Highly recommended,"Stomach pain, nausea, ulcers",222
Pneumonia,Azithromycin,5.8,Caused side effects,"Diarrhea, stomach pain, nausea",466
Acid Reflux,Omeprazole,5,Very effective,"Stomach pain, bloating, dizziness",321
Tuberculosis,Rifampin,5.8,Highly recommended,"Liver damage, nausea, dizziness",290
Bronchitis,Dextromethorphan,8.8,Not effective,"Dizziness, dry mouth, fatigue",382
Liver Disease,Silymarin,3.4,Somewhat helpful,"Stomach pain, diarrhea, nausea",74
Kidney Stones,Tamsulosin,8,Not effective,"Dizziness, headache, nasal congestion",326
Stroke,Aspirin,8.2,Very effective,"Bleeding risk, stomach pain",259
Heart Disease,Atorvastatin,6.1,Somewhat helpful,"Muscle pain, liver issues, nausea",84
Alzheimer's,Donepezil,5.2,Highly recommended,"Nausea, insomnia, diarrhea",419
Anemia,Ferrous Sulfate,5.8,Highly recommended,"Constipation, nausea, black stools",406
Hypothyroidism,Levothyroxine,8.1,Very effective,"Weight loss, anxiety, nausea",58
Epilepsy,Carbamazepine,4.1,Highly recommended,"Dizziness, fatigue, liver problems",149
Diabetes,Metformin,2.1,Caused side effects,"Nausea, weight loss, dizziness",437
Hypertension,Lisinopril,3.5,Somewhat helpful,"Cough, dizziness, low blood pressure",493
Migraine,Sumatriptan,8.8,Highly recommended,"Nausea, dizziness, chest pain",424
Asthma,Albuterol,9.2,Very effective,"Tremors, nervousness, fast heartbeat",315
COVID-19,Remdesivir,7.7,Very effective,"Nausea, liver problems, rash",36
Flu,Tamiflu,5.5,Somewhat helpful,"Nausea, headache, dizziness",159
Depression,Sertraline,9.6,Highly recommended,"Drowsiness, weight gain, nausea",481
Arthritis,Ibuprofen,7.9,Very effective,"Stomach pain, nausea, ulcers",383
Pneumonia,Azithromycin,1.1,Highly recommended,"Diarrhea, stomach pain, nausea",50
Acid Reflux,Omeprazole,9.2,Caused side effects,"Stomach pain, bloating, dizziness",39
Tuberculosis,Rifampin,5.5,Somewhat helpful,"Liver damage, nausea, dizziness",246
Bronchitis,Dextromethorphan,5.8,Not effective,"Dizziness, dry mouth, fatigue",287
Liver Disease,Silymarin,5.4,Not effective,"Stomach pain, diarrhea, nausea",292
Kidney Stones,Tamsulosin,6.3,Not effective,"Dizziness, headache, nasal congestion",206
Stroke,Aspirin,2.9,Somewhat helpful,"Bleeding risk, stomach pain",91
Heart Disease,Atorvastatin,1.2,Highly recommended,"Muscle pain, liver issues, nausea",76
Alzheimer's,Donepezil,4.8,Very effective,"Nausea, insomnia, diarrhea",122
Anemia,Ferrous Sulfate,3.7,Not effective,"Constipation, nausea, black stools",43
Hypothyroidism,Levothyroxine,2.2,Somewhat helpful,"Weight loss, anxiety, nausea",266
Epilepsy,Carbamazepine,5.7,Not effective,"Dizziness, fatigue, liver problems",83
Diabetes,Metformin,4.4,Not effective,"Nausea, weight loss, dizziness",492
Hypertension,Lisinopril,3.7,Very effective,"Cough, dizziness, low blood pressure",486
Migraine,Sumatriptan,3.5,Somewhat helpful,"Nausea, dizziness, chest pain",353
Asthma,Albuterol,5.9,Somewhat helpful,"Tremors, nervousness, fast heartbeat",280
COVID-19,Remdesivir,4.8,Somewhat helpful,"Nausea, liver problems, rash",86
Flu,Tamiflu,5.4,Caused side effects,"Nausea, headache, dizziness",475
Depression,Sertraline,8.2,Somewhat helpful,"Drowsiness, weight gain, nausea",434
Arthritis,Ibuprofen,9.1,Caused side effects,"Stomach pain, nausea, ulcers",334
Pneumonia,Azithromycin,6,Caused side effects,"Diarrhea, stomach pain, nausea",334
Acid Reflux,Omeprazole,4,Not effective,"Stomach pain, bloating, dizziness",107
Tuberculosis,Rifampin,3.3,Very effective,"Liver damage, nausea, dizziness",316
Bronchitis,Dextromethorphan,2.2,Highly recommended,"Dizziness, dry mouth, fatigue",182
Liver Disease,Silymarin,7.7,Very effective,"Stomach pain, diarrhea, nausea",361
Kidney Stones,Tamsulosin,7.1,Very effective,"Dizziness, headache, nasal congestion",244
Stroke,Aspirin,7.9,Not effective,"Bleeding risk, stomach pain",305
Heart Disease,Atorvastatin,9.6,Not effective,"Muscle pain, liver issues, nausea",214
Alzheimer's,Donepezil,6.2,Not effective,"Nausea, insomnia, diarrhea",154
Anemia,Ferrous Sulfate,4.9,Very effective,"Constipation, nausea, black stools",146
Hypothyroidism,Levothyroxine,5.8,Caused side effects,"Weight loss, anxiety, nausea",206
Epilepsy,Carbamazepine,2.8,Very effective,"Dizziness, fatigue, liver problems",480
Diabetes,Metformin,5.5,Caused side effects,"Nausea, weight loss, dizziness",452
Hypertension,Lisinopril,5.3,Caused side effects,"Cough, dizziness, low blood pressure",11
Migraine,Sumatriptan,9.1,Highly recommended,"Nausea, dizziness, chest pain",105
Asthma,Albuterol,8.6,Very effective,"Tremors, nervousness, fast heartbeat",89
COVID-19,Remdesivir,6,Very effective,"Nausea, liver problems, rash",279
Flu,Tamiflu,1.5,Not effective,"Nausea, headache, dizziness",340
Depression,Sertraline,9,Somewhat helpful,"Drowsiness, weight gain, nausea",468
Arthritis,Ibuprofen,9.5,Somewhat helpful,"Stomach pain, nausea, ulcers",341
Pneumonia,Azithromycin,5.9,Very effective,"Diarrhea, stomach pain, nausea",106
Acid Reflux,Omeprazole,2.5,Not effective,"Stomach pain, bloating, dizziness",342
Tuberculosis,Rifampin,6.8,Highly recommended,"Liver damage, nausea, dizziness",403
Bronchitis,Dextromethorphan,2,Not effective,"Dizziness, dry mouth, fatigue",215
Liver Disease,Silymarin,8.2,Caused side effects,"Stomach pain, diarrhea, nausea",226
Kidney Stones,Tamsulosin,8.9,Not effective,"Dizziness, headache, nasal congestion",24
Stroke,Aspirin,2.4,Very effective,"Bleeding risk, stomach pain",389
Heart Disease,Atorvastatin,3.6,Highly recommended,"Muscle pain, liver issues, nausea",96
Alzheimer's,Donepezil,9.8,Caused side effects,"Nausea, insomnia, diarrhea",466
Anemia,Ferrous Sulfate,8.9,Highly recommended,"Constipation, nausea, black stools",84
Hypothyroidism,Levothyroxine,3.2,Caused side effects,"Weight loss, anxiety, nausea",441
Epilepsy,Carbamazepine,6.8,Somewhat helpful,"Dizziness, fatigue, liver problems",140
Diabetes,Metformin,9.7,Very effective,"Nausea, weight loss, dizziness",263
Hypertension,Lisinopril,2.4,Caused side effects,"Cough, dizziness, low blood pressure",233
Migraine,Sumatriptan,1.6,Caused side effects,"Nausea, dizziness, chest pain",103
Asthma,Albuterol,7.8,Caused side effects,"Tremors, nervousness, fast heartbeat",499
COVID-19,Remdesivir,8.2,Somewhat helpful,"Nausea, liver problems, rash",379
Flu,Tamiflu,9.3,Caused side effects,"Nausea, headache, dizziness",178
Depression,Sertraline,7.6,Caused side effects,"Drowsiness, weight gain, nausea",69
Arthritis,Ibuprofen,7.1,Somewhat helpful,"Stomach pain, nausea, ulcers",84
Pneumonia,Azithromycin,6,Very effective,"Diarrhea, stomach pain, nausea",15
Acid Reflux,Omeprazole,4.7,Somewhat helpful,"Stomach pain, bloating, dizziness",174
Tuberculosis,Rifampin,3.9,Not effective,"Liver damage, nausea, dizziness",243
Bronchitis,Dextromethorphan,6.3,Highly recommended,"Dizziness, dry mouth, fatigue",444
Liver Disease,Silymarin,8.8,Highly recommended,"Stomach pain, diarrhea, nausea",172
Kidney Stones,Tamsulosin,5.8,Very effective,"Dizziness, headache, nasal congestion",254
Stroke,Aspirin,1.2,Very effective,"Bleeding risk, stomach pain",197
Heart Disease,Atorvastatin,9.4,Highly recommended,"Muscle pain, liver issues, nausea",403
Alzheimer's,Donepezil,2.2,Caused side effects,"Nausea, insomnia, diarrhea",19
Anemia,Ferrous Sulfate,5.7,Highly recommended,"Constipation, nausea, black stools",491
Hypothyroidism,Levothyroxine,4.8,Caused side effects,"Weight loss, anxiety, nausea",121
Epilepsy,Carbamazepine,4,Very effective,"Dizziness, fatigue, liver problems",144
Diabetes,Metformin,6.8,Caused side effects,"Nausea, weight loss, dizziness",119
Hypertension,Lisinopril,9.3,Highly recommended,"Cough, dizziness, low blood pressure",495
Migraine,Sumatriptan,4.9,Very effective,"Nausea, dizziness, chest pain",491
Asthma,Albuterol,5.7,Highly recommended,"Tremors, nervousness, fast heartbeat",455
COVID-19,Remdesivir,4.6,Highly recommended,"Nausea, liver problems, rash",433
Flu,Tamiflu,6.5,Somewhat helpful,"Nausea, headache, dizziness",490
Depression,Sertraline,7.9,Somewhat helpful,"Drowsiness, weight gain, nausea",311
Arthritis,Ibuprofen,6,Highly recommended,"Stomach pain, nausea, ulcers",82
Pneumonia,Azithromycin,7.2,Somewhat helpful,"Diarrhea, stomach pain, nausea",69
Acid Reflux,Omeprazole,9,Very effective,"Stomach pain, bloating, dizziness",224
Tuberculosis,Rifampin,7.7,Somewhat helpful,"Liver damage, nausea, dizziness",83
Bronchitis,Dextromethorphan,10,Somewhat helpful,"Dizziness, dry mouth, fatigue",165
Liver Disease,Silymarin,8.9,Caused side effects,"Stomach pain, diarrhea, nausea",326
Kidney Stones,Tamsulosin,1.1,Caused side effects,"Dizziness, headache, nasal congestion",345
Stroke,Aspirin,1.4,Somewhat helpful,"Bleeding risk, stomach pain",433
Heart Disease,Atorvastatin,1.9,Caused side effects,"Muscle pain, liver issues, nausea",276
Alzheimer's,Donepezil,4.1,Very effective,"Nausea, insomnia, diarrhea",347
Anemia,Ferrous Sulfate,9.4,Caused side effects,"Constipation, nausea, black stools",356
Hypothyroidism,Levothyroxine,5.7,Caused side effects,"Weight loss, anxiety, nausea",313
Epilepsy,Carbamazepine,5.2,Very effective,"Dizziness, fatigue, liver problems",320
Diabetes,Metformin,9.7,Very effective,"Nausea, weight loss, dizziness",384
Hypertension,Lisinopril,3.6,Highly recommended,"Cough, dizziness, low blood pressure",357
Migraine,Sumatriptan,5.1,Highly recommended,"Nausea, dizziness, chest pain",282
Asthma,Albuterol,2.9,Caused side effects,"Tremors, nervousness, fast heartbeat",23
COVID-19,Remdesivir,8.8,Somewhat helpful,"Nausea, liver problems, rash",76
Flu,Tamiflu,9.8,Not effective,"Nausea, headache, dizziness",489
Depression,Sertraline,4.9,Caused side effects,"Drowsiness, weight gain, nausea",454
Arthritis,Ibuprofen,1.5,Caused side effects,"Stomach pain, nausea, ulcers",134
Pneumonia,Azithromycin,8,Highly recommended,"Diarrhea, stomach pain, nausea",86
Acid Reflux,Omeprazole,5.9,Not effective,"Stomach pain, bloating, dizziness",493
Tuberculosis,Rifampin,3.8,Caused side effects,"Liver damage, nausea, dizziness",403
Bronchitis,Dextromethorphan,7.7,Somewhat helpful,"Dizziness, dry mouth, fatigue",179
Liver Disease,Silymarin,2,Highly recommended,"Stomach pain, diarrhea, nausea",315
Kidney Stones,Tamsulosin,8.5,Highly recommended,"Dizziness, headache, nasal congestion",298
Stroke,Aspirin,4.2,Very effective,"Bleeding risk, stomach pain",125
Heart Disease,Atorvastatin,4.6,Not effective,"Muscle pain, liver issues, nausea",407
Alzheimer's,Donepezil,8.5,Highly recommended,"Nausea, insomnia, diarrhea",321
Anemia,Ferrous Sulfate,3.3,Somewhat helpful,"Constipation, nausea, black stools",341
Hypothyroidism,Levothyroxine,2.3,Not effective,"Weight loss, anxiety, nausea",254
Epilepsy,Carbamazepine,8.7,Highly recommended,"Dizziness, fatigue, liver problems",384
Diabetes,Metformin,4.9,Very effective,"Nausea, weight loss, dizziness",183
Hypertension,Lisinopril,8.8,Very effective,"Cough, dizziness, low blood pressure",115
Migraine,Sumatriptan,7.9,Somewhat helpful,"Nausea, dizziness, chest pain",222
Asthma,Albuterol,6.3,Very effective,"Tremors, nervousness, fast heartbeat",233
COVID-19,Remdesivir,4.9,Somewhat helpful,"Nausea, liver problems, rash",315
Flu,Tamiflu,2.8,Very effective,"Nausea, headache, dizziness",26
Depression,Sertraline,2,Highly recommended,"Drowsiness, weight gain, nausea",19
Arthritis,Ibuprofen,7.5,Somewhat helpful,"Stomach pain, nausea, ulcers",107
Pneumonia,Azithromycin,5,Highly recommended,"Diarrhea, stomach pain, nausea",393
Acid Reflux,Omeprazole,1.6,Caused side effects,"Stomach pain, bloating, dizziness",117
Tuberculosis,Rifampin,4.8,Highly recommended,"Liver damage, nausea, dizziness",102
Bronchitis,Dextromethorphan,5.8,Very effective,"Dizziness, dry mouth, fatigue",33
Liver Disease,Silymarin,8,Very effective,"Stomach pain, diarrhea, nausea",161
Kidney Stones,Tamsulosin,5.5,Not effective,"Dizziness, headache, nasal congestion",325
Stroke,Aspirin,2.5,Somewhat helpful,"Bleeding risk, stomach pain",234
Heart Disease,Atorvastatin,6.6,Caused side effects,"Muscle pain, liver issues, nausea",150
Alzheimer's,Donepezil,3.8,Not effective,"Nausea, insomnia, diarrhea",421
Anemia,Ferrous Sulfate,7.6,Highly recommended,"Constipation, nausea, black stools",48
Hypothyroidism,Levothyroxine,5.1,Not effective,"Weight loss, anxiety, nausea",143
Epilepsy,Carbamazepine,5.5,Somewhat helpful,"Dizziness, fatigue, liver problems",136
Diabetes,Metformin,6.3,Not effective,"Nausea, weight loss, dizziness",206
Hypertension,Lisinopril,7.3,Somewhat helpful,"Cough, dizziness, low blood pressure",338
Migraine,Sumatriptan,8.7,Somewhat helpful,"Nausea, dizziness, chest pain",80
Asthma,Albuterol,5.4,Not effective,"Tremors, nervousness, fast heartbeat",157
COVID-19,Remdesivir,2.5,Caused side effects,"Nausea, liver problems, rash",459
Flu,Tamiflu,1.4,Somewhat helpful,"Nausea, headache, dizziness",484
Depression,Sertraline,5.1,Somewhat helpful,"Drowsiness, weight gain, nausea",66
Arthritis,Ibuprofen,9.6,Caused side effects,"Stomach pain, nausea, ulcers",121
Pneumonia,Azithromycin,8,Very effective,"Diarrhea, stomach pain, nausea",248
Acid Reflux,Omeprazole,6,Very effective,"Stomach pain, bloating, dizziness",71
Tuberculosis,Rifampin,9.2,Caused side effects,"Liver damage, nausea, dizziness",279
Bronchitis,Dextromethorphan,7.5,Somewhat helpful,"Dizziness, dry mouth, fatigue",57
Liver Disease,Silymarin,2.7,Somewhat helpful,"Stomach pain, diarrhea, nausea",471
Kidney Stones,Tamsulosin,1,Highly recommended,"Dizziness, headache, nasal congestion",393
Stroke,Aspirin,8.4,Somewhat helpful,"Bleeding risk, stomach pain",270
Heart Disease,Atorvastatin,1.8,Caused side effects,"Muscle pain, liver issues, nausea",339
Alzheimer's,Donepezil,1.1,Highly recommended,"Nausea, insomnia, diarrhea",225
Anemia,Ferrous Sulfate,3.7,Highly recommended,"Constipation, nausea, black stools",105
Hypothyroidism,Levothyroxine,6,Somewhat helpful,"Weight loss, anxiety, nausea",404
Epilepsy,Carbamazepine,5.2,Highly recommended,"Dizziness, fatigue, liver problems",246
Diabetes,Metformin,1.1,Highly recommended,"Nausea, weight loss, dizziness",178
Hypertension,Lisinopril,10,Caused side effects,"Cough, dizziness, low blood pressure",365
Migraine,Sumatriptan,4.2,Highly recommended,"Nausea, dizziness, chest pain",48
Asthma,Albuterol,1.7,Somewhat helpful,"Tremors, nervousness, fast heartbeat",51
COVID-19,Remdesivir,6.5,Very effective,"Nausea, liver problems, rash",439
Flu,Tamiflu,7.6,Very effective,"Nausea, headache, dizziness",460
Depression,Sertraline,8.4,Highly recommended,"Drowsiness, weight gain, nausea",321
Arthritis,Ibuprofen,5.7,Somewhat helpful,"Stomach pain, nausea, ulcers",45
Pneumonia,Azithromycin,6.5,Not effective,"Diarrhea, stomach pain, nausea",451
Acid Reflux,Omeprazole,9,Highly recommended,"Stomach pain, bloating, dizziness",197
Tuberculosis,Rifampin,6.8,Somewhat helpful,"Liver damage, nausea, dizziness",195
Bronchitis,Dextromethorphan,6,Very effective,"Dizziness, dry mouth, fatigue",126
Liver Disease,Silymarin,2.5,Highly recommended,"Stomach pain, diarrhea, nausea",297
Kidney Stones,Tamsulosin,3.2,Caused side effects,"Dizziness, headache, nasal congestion",205
Stroke,Aspirin,9.9,Very effective,"Bleeding risk, stomach pain",227
Heart Disease,Atorvastatin,2.4,Somewhat helpful,"Muscle pain, liver issues, nausea",409
Alzheimer's,Donepezil,3.4,Caused side effects,"Nausea, insomnia, diarrhea",289
Anemia,Ferrous Sulfate,4.8,Not effective,"Constipation, nausea, black stools",389
Hypothyroidism,Levothyroxine,2.9,Not effective,"Weight loss, anxiety, nausea",78
Epilepsy,Carbamazepine,5.4,Somewhat helpful,"Dizziness, fatigue, liver problems",290
Diabetes,Metformin,8.5,Not effective,"Nausea, weight loss, dizziness",113
Hypertension,Lisinopril,4.3,Not effective,"Cough, dizziness, low blood pressure",388
Migraine,Sumatriptan,4.1,Somewhat helpful,"Nausea, dizziness, chest pain",420
Asthma,Albuterol,5.9,Very effective,"Tremors, nervousness, fast heartbeat",119
COVID-19,Remdesivir,7,Caused side effects,"Nausea, liver problems, rash",126
Flu,Tamiflu,8.3,Caused side effects,"Nausea, headache, dizziness",173
Depression,Sertraline,9.7,Not effective,"Drowsiness, weight gain, nausea",119
Arthritis,Ibuprofen,8.5,Somewhat helpful,"Stomach pain, nausea, ulcers",312
Pneumonia,Azithromycin,5.2,Very effective,"Diarrhea, stomach pain, nausea",447
Acid Reflux,Omeprazole,7.3,Very effective,"Stomach pain, bloating, dizziness",309
Tuberculosis,Rifampin,5.7,Very effective,"Liver damage, nausea, dizziness",82
Bronchitis,Dextromethorphan,8.1,Somewhat helpful,"Dizziness, dry mouth, fatigue",34
Liver Disease,Silymarin,1.9,Caused side effects,"Stomach pain, diarrhea, nausea",119
Kidney Stones,Tamsulosin,2.3,Somewhat helpful,"Dizziness, headache, nasal congestion",274
Stroke,Aspirin,1.9,Not effective,"Bleeding risk, stomach pain",99
Heart Disease,Atorvastatin,9.5,Somewhat helpful,"Muscle pain, liver issues, nausea",122
Alzheimer's,Donepezil,7.7,Not effective,"Nausea, insomnia, diarrhea",104
Anemia,Ferrous Sulfate,8.5,Very effective,"Constipation, nausea, black stools",275
Hypothyroidism,Levothyroxine,3.5,Very effective,"Weight loss, anxiety, nausea",145
Epilepsy,Carbamazepine,6.1,Somewhat helpful,"Dizziness, fatigue, liver problems",106
Diabetes,Metformin,6.1,Somewhat helpful,"Nausea, weight loss, dizziness",193
Hypertension,Lisinopril,6.3,Caused side effects,"Cough, dizziness, low blood pressure",264
Migraine,Sumatriptan,2.1,Caused side effects,"Nausea, dizziness, chest pain",492
Asthma,Albuterol,7.8,Highly recommended,"Tremors, nervousness, fast heartbeat",231
COVID-19,Remdesivir,3.6,Highly recommended,"Nausea, liver problems, rash",242
Flu,Tamiflu,3.8,Highly recommended,"Nausea, headache, dizziness",262
Depression,Sertraline,5.6,Somewhat helpful,"Drowsiness, weight gain, nausea",65
Arthritis,Ibuprofen,9.8,Not effective,"Stomach pain, nausea, ulcers",67
Pneumonia,Azithromycin,3.8,Not effective,"Diarrhea, stomach pain, nausea",295
Acid Reflux,Omeprazole,2.8,Somewhat helpful,"Stomach pain, bloating, dizziness",461
Tuberculosis,Rifampin,7.9,Highly recommended,"Liver damage, nausea, dizziness",37
Bronchitis,Dextromethorphan,8.7,Somewhat helpful,"Dizziness, dry mouth, fatigue",293
Liver Disease,Silymarin,4.1,Very effective,"Stomach pain, diarrhea, nausea",252
Kidney Stones,Tamsulosin,9,Somewhat helpful,"Dizziness, headache, nasal congestion",236
Stroke,Aspirin,9.8,Highly recommended,"Bleeding risk, stomach pain",103
Heart Disease,Atorvastatin,2.9,Caused side effects,"Muscle pain, liver issues, nausea",399
Alzheimer's,Donepezil,2.7,Somewhat helpful,"Nausea, insomnia, diarrhea",114
Anemia,Ferrous Sulfate,7.7,Not effective,"Constipation, nausea, black stools",157
Hypothyroidism,Levothyroxine,5.4,Caused side effects,"Weight loss, anxiety, nausea",56
Epilepsy,Carbamazepine,4.2,Somewhat helpful,"Dizziness, fatigue, liver problems",341
Diabetes,Metformin,5.4,Caused side effects,"Nausea, weight loss, dizziness",149
Hypertension,Lisinopril,9.1,Caused side effects,"Cough, dizziness, low blood pressure",434
Migraine,Sumatriptan,9.9,Very effective,"Nausea, dizziness, chest pain",110
Asthma,Albuterol,6.4,Very effective,"Tremors, nervousness, fast heartbeat",325
COVID-19,Remdesivir,2,Highly recommended,"Nausea, liver problems, rash",426
Flu,Tamiflu,8.7,Somewhat helpful,"Nausea, headache, dizziness",50
Depression,Sertraline,4.1,Highly recommended,"Drowsiness, weight gain, nausea",197
Arthritis,Ibuprofen,6.3,Caused side effects,"Stomach pain, nausea, ulcers",82
Pneumonia,Azithromycin,9.5,Somewhat helpful,"Diarrhea, stomach pain, nausea",255
Acid Reflux,Omeprazole,3.8,Not effective,"Stomach pain, bloating, dizziness",242
Tuberculosis,Rifampin,1.7,Somewhat helpful,"Liver damage, nausea, dizziness",353
Bronchitis,Dextromethorphan,1.8,Not effective,"Dizziness, dry mouth, fatigue",398
Liver Disease,Silymarin,8.9,Very effective,"Stomach pain, diarrhea, nausea",251
Kidney Stones,Tamsulosin,2.3,Not effective,"Dizziness, headache, nasal congestion",356
Stroke,Aspirin,6.9,Somewhat helpful,"Bleeding risk, stomach pain",267
Heart Disease,Atorvastatin,5.9,Caused side effects,"Muscle pain, liver issues, nausea",225
Alzheimer's,Donepezil,5.2,Caused side effects,"Nausea, insomnia, diarrhea",112
Anemia,Ferrous Sulfate,2,Somewhat helpful,"Constipation, nausea, black stools",72
Hypothyroidism,Levothyroxine,9,Somewhat helpful,"Weight loss, anxiety, nausea",213
Epilepsy,Carbamazepine,3.6,Somewhat helpful,"Dizziness, fatigue, liver problems",379
Diabetes,Metformin,5.4,Not effective,"Nausea, weight loss, dizziness",392
Hypertension,Lisinopril,6.8,Somewhat helpful,"Cough, dizziness, low blood pressure",278
Migraine,Sumatriptan,4.7,Not effective,"Nausea, dizziness, chest pain",174
Asthma,Albuterol,7.2,Very effective,"Tremors, nervousness, fast heartbeat",253
COVID-19,Remdesivir,4.3,Highly recommended,"Nausea, liver problems, rash",121
Flu,Tamiflu,5.5,Very effective,"Nausea, headache, dizziness",408
Depression,Sertraline,2.8,Somewhat helpful,"Drowsiness, weight gain, nausea",187
Arthritis,Ibuprofen,5.9,Very effective,"Stomach pain, nausea, ulcers",488
Pneumonia,Azithromycin,9.8,Somewhat helpful,"Diarrhea, stomach pain, nausea",301
Acid Reflux,Omeprazole,3.1,Not effective,"Stomach pain, bloating, dizziness",492
Tuberculosis,Rifampin,2.1,Caused side effects,"Liver damage, nausea, dizziness",348
Bronchitis,Dextromethorphan,2.9,Somewhat helpful,"Dizziness, dry mouth, fatigue",203
Liver Disease,Silymarin,4.4,Very effective,"Stomach pain, diarrhea, nausea",204
Kidney Stones,Tamsulosin,9.7,Caused side effects,"Dizziness, headache, nasal congestion",207
Stroke,Aspirin,6.4,Not effective,"Bleeding risk, stomach pain",75
Heart Disease,Atorvastatin,5.7,Caused side effects,"Muscle pain, liver issues, nausea",177
Alzheimer's,Donepezil,4.9,Very effective,"Nausea, insomnia, diarrhea",46
Anemia,Ferrous Sulfate,5.4,Not effective,"Constipation, nausea, black stools",245
Hypothyroidism,Levothyroxine,8.5,Highly recommended,"Weight loss, anxiety, nausea",309
Epilepsy,Carbamazepine,1.1,Not effective,"Dizziness, fatigue, liver problems",488
Diabetes,Metformin,6,Very effective,"Nausea, weight loss, dizziness",373
Hypertension,Lisinopril,8.7,Somewhat helpful,"Cough, dizziness, low blood pressure",284
Migraine,Sumatriptan,6.4,Highly recommended,"Nausea, dizziness, chest pain",235
Asthma,Albuterol,2.3,Highly recommended,"Tremors, nervousness, fast heartbeat",186
COVID-19,Remdesivir,4.9,Very effective,"Nausea, liver problems, rash",114
Flu,Tamiflu,4.5,Highly recommended,"Nausea, headache, dizziness",485
Depression,Sertraline,7.8,Highly recommended,"Drowsiness, weight gain, nausea",429
Arthritis,Ibuprofen,7.8,Highly recommended,"Stomach pain, nausea, ulcers",416
Pneumonia,Azithromycin,3.1,Highly recommended,"Diarrhea, stomach pain, nausea",253
Acid Reflux,Omeprazole,1.7,Highly recommended,"Stomach pain, bloating, dizziness",395
Tuberculosis,Rifampin,5.5,Highly recommended,"Liver damage, nausea, dizziness",184
Bronchitis,Dextromethorphan,9.4,Not effective,"Dizziness, dry mouth, fatigue",106
Liver Disease,Silymarin,8.2,Caused side effects,"Stomach pain, diarrhea, nausea",390
Kidney Stones,Tamsulosin,7.2,Somewhat helpful,"Dizziness, headache, nasal congestion",343
Stroke,Aspirin,2.7,Somewhat helpful,"Bleeding risk, stomach pain",121
Heart Disease,Atorvastatin,5.7,Not effective,"Muscle pain, liver issues, nausea",418
Alzheimer's,Donepezil,3.9,Caused side effects,"Nausea, insomnia, diarrhea",485
Anemia,Ferrous Sulfate,6.3,Not effective,"Constipation, nausea, black stools",177
Hypothyroidism,Levothyroxine,7.1,Very effective,"Weight loss, anxiety, nausea",117
Epilepsy,Carbamazepine,9,Somewhat helpful,"Dizziness, fatigue, liver problems",82
Diabetes,Metformin,9.7,Caused side effects,"Nausea, weight loss, dizziness",292
Hypertension,Lisinopril,9.9,Not effective,"Cough, dizziness, low blood pressure",44
Migraine,Sumatriptan,8.7,Very effective,"Nausea, dizziness, chest pain",342
Asthma,Albuterol,1.9,Somewhat helpful,"Tremors, nervousness, fast heartbeat",163
COVID-19,Remdesivir,2.4,Caused side effects,"Nausea, liver problems, rash",491
Flu,Tamiflu,1.5,Somewhat helpful,"Nausea, headache, dizziness",388
Depression,Sertraline,5.3,Highly recommended,"Drowsiness, weight gain, nausea",138
Arthritis,Ibuprofen,1.5,Somewhat helpful,"Stomach pain, nausea, ulcers",253
Pneumonia,Azithromycin,6.2,Caused side effects,"Diarrhea, stomach pain, nausea",463
Acid Reflux,Omeprazole,6.2,Somewhat helpful,"Stomach pain, bloating, dizziness",424
Tuberculosis,Rifampin,7.6,Not effective,"Liver damage, nausea, dizziness",311
